iter	Passed	Remaining
0	124	111743
1	279	125385
2	371	111044
3	490	109946
4	564	100988
5	683	101873
6	821	104778
7	948	105767
8	1057	104706
9	1158	103128
10	1257	101621
11	1371	101475
12	1498	102277
13	1648	104342
14	1783	105206
15	1886	104203
16	2001	103971
17	2140	104875
18	2254	104514
19	2373	104451
20	2475	103604
21	2587	103262
22	2691	102636
23	2807	102464
24	2932	102651
25	3038	102144
26	3175	102672
27	3308	103033
28	3428	102960
29	3525	102234
30	3647	102256
31	3762	102053
32	3874	101794
33	4015	102289
34	4128	102038
35	4221	101314
36	4337	101167
37	4458	101137
38	4563	100748
39	4676	100543
40	4809	100768
41	4923	100576
42	5026	100171
43	5128	99774
44	5230	99385
45	5333	99025
46	5451	98945
47	5553	98576
48	5661	98329
49	5774	98168
50	5882	97925
51	5996	97781
52	6103	97543
53	6207	97247
54	6305	96877
55	6460	97373
56	6827	100974
57	6956	100992
58	7091	101080
59	7211	100954
60	7311	100561
61	7430	100429
62	7520	99918
63	7654	99983
64	7755	99631
65	7869	99435
66	7988	99318
67	8114	99285
68	8291	99857
69	8415	99780
70	8550	99837
71	8672	99739
72	8794	99628
73	8913	99495
74	9032	99352
75	9145	99151
76	9239	98759
77	9358	98623
78	9495	98685
79	9604	98442
80	9744	98531
81	9866	98422
82	9968	98127
83	10074	97871
84	10191	97722
85	10287	97371
86	10332	96552
87	10427	96217
88	10539	96038
89	10654	95890
90	10744	95523
91	10849	95288
92	10967	95170
93	11071	94929
94	11179	94727
95	11281	94481
96	11401	94381
97	11498	94097
98	11601	93866
99	11709	93673
100	11817	93483
101	11934	93370
102	12049	93236
103	12157	93053
104	12249	92746
105	12350	92510
106	12431	92133
107	12546	92004
108	12646	91777
109	12779	91782
110	12899	91691
111	12992	91410
112	13146	91562
113	13299	91696
114	13412	91556
115	13527	91423
116	13631	91226
117	13722	90942
118	13823	90724
119	13922	90493
120	14008	90188
121	14133	90133
122	14247	90000
123	14358	89855
124	14503	89924
125	14609	89745
126	14720	89595
127	14873	89705
128	15028	89822
129	15150	89735
130	15264	89604
131	15372	89438
132	15514	89468
133	15639	89400
134	15798	89526
135	15930	89490
136	16090	89613
137	16245	89706
138	16353	89530
139	16475	89436
140	16632	89533
141	16749	89406
142	16881	89364
143	16986	89177
144	17168	89392
145	17295	89322
146	17420	89235
147	17537	89109
148	17719	89309
149	17843	89215
150	17947	89022
151	18085	88998
152	18204	88881
153	18348	88882
154	18446	88664
155	18573	88579
156	18689	88447
157	18849	88521
158	18957	88350
159	19111	88392
160	19240	88314
161	19387	88320
162	19533	88321
163	19663	88244
164	19790	88157
165	19928	88115
166	20047	87991
167	20151	87803
168	20260	87634
169	20364	87447
170	20482	87321
171	20585	87129
172	20671	86866
173	20794	86763
174	20952	86802
175	21082	86726
176	21221	86685
177	21356	86624
178	21474	86498
179	21616	86465
180	21757	86429
181	21886	86344
182	22069	86469
183	22164	86249
184	22281	86115
185	22417	86052
186	22576	86079
187	22712	86016
188	22847	85950
189	22994	85927
190	23151	85940
191	23272	85818
192	23429	85828
193	23520	85596
194	23633	85444
195	23734	85249
196	23902	85295
197	24045	85251
198	24226	85340
199	24346	85213
200	24510	85238
201	24847	85859
202	25062	86053
203	25231	86083
204	25360	85978
205	25501	85911
206	25650	85874
207	25787	85793
208	25920	85698
209	26072	85666
210	26208	85580
211	26370	85580
212	26509	85503
213	26689	85555
214	26850	85545
215	27204	86148
216	27400	86243
217	27514	86078
218	27616	85876
219	27710	85652
220	27860	85599
221	28020	85574
222	28173	85532
223	28333	85506
224	28471	85415
225	28594	85275
226	28699	85086
227	28828	84968
228	28951	84831
229	29057	84647
230	29164	84463
231	29284	84319
232	29389	84133
233	29527	84039
234	29639	83872
235	29735	83663
236	29861	83536
237	29974	83375
238	30147	83379
239	30256	83206
240	30399	83126
241	30522	82991
242	30694	82988
243	30798	82803
244	30944	82730
245	31093	82662
246	31231	82568
247	31379	82496
248	31502	82362
249	31630	82238
250	31775	82159
251	31884	81987
252	32028	81907
253	32170	81819
254	32279	81648
255	32407	81525
256	32561	81468
257	32711	81397
258	32841	81280
259	32991	81209
260	33108	81058
261	33194	80832
262	33299	80652
263	33449	80584
264	33589	80489
265	33739	80416
266	33826	80196
267	33955	80073
268	34076	79933
269	34201	79802
270	34317	79651
271	34426	79483
272	34529	79304
273	34635	79131
274	34782	79050
275	34927	78965
276	35105	78955
277	35221	78804
278	35327	78632
279	35413	78415
280	35528	78263
281	35649	78124
282	35811	78076
283	35941	77957
284	36082	77863
285	36200	77717
286	36293	77518
287	36416	77385
288	36539	77252
289	36674	77143
290	36799	77012
291	36907	76848
292	37156	76975
293	37417	77126
294	37610	77134
295	37809	77151
296	37942	77035
297	38122	77013
298	38254	76893
299	38396	76793
300	38590	76796
301	38783	76796
302	38945	76734
303	39101	76659
304	39332	76730
305	39552	76777
306	39755	76790
307	39896	76683
308	40024	76551
309	40138	76392
310	40245	76220
311	40354	76052
312	40509	75971
313	40730	76012
314	41048	76233
315	41240	76216
316	41422	76181
317	41627	76186
318	41842	76208
319	42058	76231
320	42251	76211
321	42512	76312
322	42692	76264
323	42917	76297
324	43063	76188
325	43235	76126
326	43357	75975
327	43489	75842
328	43615	75697
329	43776	75613
330	43924	75508
331	44127	75495
332	44270	75380
333	44448	75322
334	44573	75176
335	44750	75117
336	44883	74983
337	45044	74896
338	45233	74854
339	45407	74788
340	45568	74700
341	45721	74598
342	45836	74434
343	45954	74275
344	46076	74122
345	46218	74003
346	46392	73933
347	46559	73852
348	46746	73803
349	46874	73660
350	47040	73575
351	47191	73468
352	47370	73404
353	47501	73265
354	47641	73139
355	47845	73112
356	48050	73085
357	48223	73009
358	48329	72830
359	48453	72679
360	48644	72629
361	48807	72537
362	49000	72487
363	49145	72367
364	49297	72257
365	49513	72241
366	49643	72097
367	49853	72070
368	49992	71941
369	50170	71865
370	50331	71767
371	50474	71641
372	50667	71586
373	50890	71573
374	51062	71487
375	51229	71394
376	51405	71313
377	51590	71244
378	51826	71244
379	51992	71146
380	52175	71073
381	52364	71006
382	52564	70954
383	52737	70865
384	52880	70736
385	53019	70601
386	53199	70520
387	53359	70413
388	53496	70274
389	53655	70164
390	53856	70110
391	53993	69971
392	54125	69825
393	54276	69705
394	54416	69570
395	54584	69471
396	54736	69351
397	54866	69203
398	54987	69044
399	55130	68912
400	55278	68788
401	55446	68688
402	55624	68598
403	55802	68509
404	56047	68502
405	56250	68442
406	56414	68334
407	56649	68312
408	56782	68166
409	56934	68043
410	57048	67874
411	57189	67739
412	57313	67582
413	57422	67409
414	57554	67262
415	57675	67103
416	57816	66967
417	57976	66852
418	58111	66710
419	58238	66558
420	58430	66480
421	58560	66331
422	58703	66197
423	58809	66021
424	59009	65952
425	59277	65956
426	59445	65849
427	59682	65818
428	59931	65798
429	60120	65712
430	60254	65566
431	60410	65444
432	60585	65342
433	60801	65284
434	61035	65244
435	61153	65081
436	61287	64933
437	61410	64775
438	61654	64744
439	61967	64784
440	62109	64644
441	62271	64525
442	62393	64365
443	62541	64231
444	62703	64113
445	62863	63991
446	63027	63873
447	63183	63748
448	63344	63626
449	63509	63509
450	63672	63389
451	63865	63300
452	63988	63141
453	64125	62995
454	64261	62848
455	64368	62674
456	64529	62552
457	64697	62437
458	64835	62292
459	65026	62199
460	65244	62131
461	65436	62036
462	65565	61883
463	65693	61729
464	65822	61576
465	65993	61461
466	66164	61347
467	66288	61189
468	66446	61062
469	66576	60910
470	66774	60820
471	66908	60671
472	67038	60518
473	67173	60370
474	67359	60269
475	67469	60098
476	67622	59967
477	67740	59803
478	67939	59713
479	68091	59580
480	68228	59433
481	68368	59290
482	68547	59180
483	68734	59077
484	68900	58956
485	69034	58807
486	69165	58655
487	69317	58521
488	69448	58370
489	69619	58253
490	69784	58129
491	69894	57961
492	70047	57827
493	70171	57671
494	70320	57535
495	70535	57451
496	70692	57322
497	70820	57168
498	71025	57077
499	71202	56961
500	71369	56839
501	71532	56712
502	71696	56587
503	71899	56492
504	72117	56408
505	72334	56323
506	72580	56260
507	72778	56159
508	73063	56125
509	73258	56021
510	73459	55921
511	73700	55851
512	73883	55736
513	74114	55658
514	74309	55551
515	74495	55438
516	74934	55512
517	75178	55440
518	75362	55323
519	75596	55243
520	75743	55099
521	75861	54934
522	75997	54782
523	76120	54620
524	76244	54460
525	76379	54307
526	76521	54160
527	76685	54028
528	76836	53887
529	76961	53727
530	77124	53595
531	77300	53470
532	77462	53337
533	77628	53206
534	77744	53040
535	77885	52892
536	78071	52774
537	78233	52640
538	78366	52486
539	78496	52331
540	78617	52169
541	78789	52041
542	78950	51906
543	79101	51765
544	79245	51618
545	79418	51490
546	79738	51458
547	79919	51334
548	80066	51189
549	80229	51055
550	80351	50894
551	80545	50778
552	80661	50614
553	80785	50454
554	80914	50297
555	81078	50163
556	81235	50024
557	81366	49869
558	81495	49713
559	81627	49559
560	81816	49440
561	82059	49352
562	82342	49288
563	82498	49147
564	82613	48983
565	82736	48823
566	82875	48672
567	82961	48491
568	83088	48334
569	83178	48156
570	83262	47974
571	83378	47811
572	83511	47658
573	83618	47490
574	83728	47324
575	83805	47140
576	83937	46987
577	84057	46828
578	84147	46651
579	84240	46477
580	84372	46325
581	84521	46181
582	84598	45999
583	84700	45831
584	84806	45664
585	84908	45496
586	85026	45338
587	85136	45174
588	85251	45014
589	85346	44843
590	85444	44673
591	85549	44508
592	85647	44340
593	85770	44184
594	85895	44030
595	86054	43893
596	86189	43744
597	86286	43576
